topic,keywords
0,"game, like, make, story, feel, get, time, character, go, play, one, even, good, take, really, bad, well, lot, also, thing, much, would, see, first, new, eu, great, need, map, since"
1,"card, game, deck, fallout, play, match, player, outcome, buy, get, impact, skill, like, uiux, mechanic, even, client, fun, win, hearthstone, try, depth, lot, similar, interesting, rewarding, single, really, use, new"
2,"play, game, great, good, awesome, worth, fun, get, mech, still, friend, pretty, card, long, one, turn, hype, like, sound, buy, even, interesting, player, battle, try, element, feel, doom, time, meaningful"
3,"game, bioshock, free, play, remake, downloadable, really, content, like, make, great, hitman, version, nothing, pay, buy, minute, get, find, people, orignal, fun, least, fcking, blue, go, remastered, time, well, love"
4,"story, game, halo, great, feel, multiplayer, shooter, really, like, quake, good, writing, gameplay, time, character, play, bit, part, etc, graphic, however, one, way, fun, storyline, much, come, cutscene, make, also"
5,"wolfenstein, game, go, fun, good, like, combat, ban, get, nazi, server, love, war, peace, shooter, government, order, new, make, literally, actually, rise, us, person, sequel, hard, lot, first, minute, franchise"
6,"story, game, hour, good, amazing, must, ending, eat, ever, really, great, much, history, play, time, lady, cat, society, awesome, complain, depression, gameplay, finish, choice, life, get, bad, narrative, year, one"
7,"puzzle, like, plot, game, buggy, interesting, break, recommend, get, style, still, would, think, enjoy, make, people, outer, art, well, might, lot, sale, wild, sr, look, really, sure, one, chapter, room"
8,"city, game, shoot, get, point, like, play, gun, go, still, need, camera, lynch, weapon, one, want, scenario, rifle, mod, builder, war, man, even, put, kl, battle, survival, use, feel, exp"
9,"hour, paint, story, average, cry, wait, far, beautiful, short, long, price, fun, end, graphic, hard, like, bad, ride, monthsyear, onetime, ms, grandma, temple, amusing, underpriced, microwave, could, play, kingdom, infinitely"
10,"classic, year, purchase, china, chinese, back, pathetic, account, hacker, eg, old, ass, laugh, wall, game, oh, require, epic, great, launch, later, version, think, look, surefire, surgeryd, bandwagon, racism, done, dumber"
11,"per, frame, second, telltale, game, adventure, disconnect, one, good, wish, launcher, make, puzzle, borderland, think, story, play, sometimes, idea, fix, even, like, gabriel, misson, absolve, microsoft, choice, online, way, minor"
12,"hate, good, yes, awdeome, aweosme, helldiver, terraria, border, ig, creative, wonderfully, eh, genuinely, alright, say, remove, st, complex, okay, improvement, pretty, nearly, horrible, room, shot, simply, everyone, incredible, face, team"
13,"review, game, kombat, masterpiece, thank, metal, one, gear, good, garbage, gi, kojima, positive, overpowered, phantom, rally, mk, mortal, surely, meat, disgusting, support, even, content, hybrid, receive, straight, nice, downloadable, somehow"
14,"horror, soul, creepy, dark, psychological, kinda, survival, whole, scary, scare, ghost, cool, fear, otherwise, ever, zombie, super, cardinal, goodness, gloss, firepower, sadist, muh, trinity, salvato, holyyy, demonsand, sorta, slayer, wierdly"
15,"assassin, creed, ezio, blow, ezios, rome, since, aye, reclaim, brotherhood, thing, fan, games, recommend, ac, master, especially, series, would, laugh, go, remember, little, storydriven, visit, jaw, vividly, dropper, induct, thoughit"
16,"addict, iraq, message, wish, addictive, fun, guess, oki, dow, iyashikei, misery, questalike, painkiller, coronavirus, retribution, shoulda, barney, squarely, swiftly, tide, forsake, die, would, cruelty, lonely, inhabit, dad, equally, invade, purely"
17,"half, life, series, dialogue, superb, love, source, good, along, graphic, well, act, voice, game, yes, mic, teary, ahhh, heavly, xen, becouse, amazing, still, teach, play, definitely, spinoff, hl, voiceacting, insane"
18,"game, good, dynamic, duel, part, graphic, level, decent, style, bad, play, story, gameplay, pretty, huge, modification, mechanic, aspect, shooter, cheesy, gun, though, lot, people, say, see, price, first, design, per"
19,"vr, pc, console, second, frame, file, per, port, great, experience, ceo, ipresent, headset, framerate, apply, reccomend, game, infinite, set, bethesda, rockstar, change, gamer, run, controller, close, one, quality, setting, community"
20,"murder, accidentally, kill, hear, scream, know, earphone, headpat, greentext, jumpscare, walkie, forchan, leukemia, meth, decapitation, talkie, psychiatrist, psychopatch, boob, agency, life, right, friend, lung, shout, mr, simp, patient, hospital, static"
21,"coop, pew, space, spergs, godawful, funcreepy, biophage, couch, coexist, hlalyx, fun, ridiculous, chain, experience, crap, singleplayer, marine, cod, solo, pace, sell, good, totally, online, community, epic, entire, opinion, strong, well"
22,"puzzle, find, way, frustrating, fade, explanation, screen, rome, paradox, swap, hundred, block, available, thing, hard, area, end, several, later, let, away, seem, puzzles, waypoint, satsifying, accomplish, screenn, frustratingly, snipping, toward"
23,"soundtrack, dishonor, metal, amazing, besides, mix, masterpiece, world, game, ozzy, rob, reskine, hacknslash, album, lemmy, childhood, halford, genius, insanely, perfection, jazz, represent, enough, mandatory, legendary, great, formula, ii, inspire, story"
24,"download, please, title, meetingsresponsibilitiesetc, pheasant, mintue, hour, complete, nice, sale, rabbit, focused, accord, short, technique, hurry, worth, coin, hook, wonderful, recommend, brilliant, send, tight, round, particularly, universe, memorable, serious, thumb"
25,"game, tomb, raider, like, smile, developer, interaction, tactical, feel, really, buggy, wall, exploration, year, make, mechanic, writing, focus, suck, depth, come, special, rpg, fun, play, recommend, act, voice, see, sound"
