topic,keywords
0,"character, story, game, feel, make, eu, get, ir, like, take, time, go, one, lot, even, see, combat, good, feature, thing, gameplay, way, need, quest, assassin, well, would, also, bad, runner"
1,"buy, worth, sale, efootball, pe, money, goofy, dollar, dead, get, refund, price, scorpion, novelty, buyer, sync, garbosexual, steamstore, weary, kewl, jab, kbm, def, leftover, website, abandonware, times, game, server, steam"
2,"story, great, writing, gameplay, feel, family, cutscene, borderland, payne, fun, character, bit, morta, stagger, part, graphic, etc, good, really, meaningful, pretty, child, like, max, game, conversation, group, actual, much, chat"
3,"puzzle, plot, recommend, roomchamber, outer, interesting, style, like, would, room, art, solve, wild, people, sale, enjoy, tacoma, well, chapter, figure, scifi, talos, might, theme, get, require, philosophy, principle, think, wander"
4,"card, deck, match, outcome, unlock, player, uiux, impact, move, client, skill, hearthstone, creature, mobile, win, faeria, pay, balance, rewarding, play, plane, depth, land, mechanic, playfield, single, hs, get, even, game"
5,"wolfenstein, juarez, campaign, gunslinger, call, order, nice, blood, ii, west, shooter, frame, per, nazi, second, story, new, war, give, bt, outlaw, goose, fun, sure, titanfall, first, colossus, bind, opinion, bf"
6,"friend, resource, game, enjoyable, play, try, board, singleplayer, magick, solo, coop, fun, mode, great, island, multiplayer, wish, mod, get, join, decent, sale, price, much, little, graphic, would, also, since, steam"
7,"amazing, story, must, awesome, history, good, gameplay, mystery, ever, great, reference, excellent, movie, love, narrative, understand, hosea, co, suspend, everybody, anybody, sicario, xen, disbelief, fragile, resi, resent, incomplete, dated, golden"
8,"awesome, dad, ukraine, fp, relax, play, great, faff, touching, funtoplay, long, unexpectedly, breaker, candidate, milsim, bro, game, buy, want, cool, scroll, pretty, goty, bomb, chill, good, ever, one, please, ass"
9,"murder, accidentally, friend, ghost, scream, kill, hear, guess, join, wish, know, room, laugh, psychopatch, jumpscare, dow, pha, earphone, headpat, psychiatrist, retribution, walkie, shoulda, greentext, talkie, funniest, forchan, em, painkiller, meth"
10,"city, builder, scenario, building, skyline, survival, survive, traffic, citizen, postapocalyptic, automate, devs, want, mod, asset, interested, try, machine, custom, limit, survivor, basebuilde, bob, simcity, scripted, anyone, recommend, drawback, access, limited"
11,"check, girl, fcking, minute, anime, play, fast, mcpixel, dismount, pwn, addicted, reader, game, chair, billion, invest, know, simple, like, really, nothing, fun, quite, stuff, boring, little, accidentally, deserve, enjoy, addictive"
12,"review, steam, badge, rally, overpowered, content, downloadable, positive, thank, finish, hybrid, support, pathetic, slot, receive, poor, blast, nice, game, even, totally, push, kid, believe, row, saint, buy, focus, name, give"
13,"crash, desktop, problem, dx, constantly, contact, fix, vsync, everytime, start, waste, customer, answer, hope, wich, file, fail, total, horrible, frame, everything, past, formulate, aiming, driver, doesent, linux, cpus, min, assistance"
14,"free, downloadable, content, pay, campaign, online, skirm, dumbe, mechanistic, airborne, eadice, warcrime, paying, chubby, cent, shred, httpswwwhumblebundlecomstorecompanyofheroeshmbsourcecompanyofheroesfreegamehmbmediumbanner, humblebundle, scan, farming, ai, come, mw, update, portion, make, buy, least, lackluster, garrys"
15,"hour, supergiant, damn, nuff, throb, bing, time, quite, thoroughly, headache, rage, entertain, five, chill, period, much, another, gem, slightly, wow, season, end, nearly, start, earn, long, game, along, suck, choose"
16,"awdeome, aweosme, helldiver, border, creative, yes, wonderfully, alright, good, complex, improvement, nearly, horrible, room, say, simply, everyone, incredible, pretty, guess, atmosphere, might, always, short, really, one, bit, like, great, well"
17,"season, forgive, first, review, place, update, release, year, every, like, messy, much, far, game, bug, really, cyberpunk, maybe, shame, feel, content, last, although, glitch, mediocre, back, patch, come, hour, valhalla"
18,"survivor, vampire, killers, masquerade, please, killer, story, title, system, point, rise, around, genre, add, reach, horror, improve, wildland, unmatched, micheal, sod, myers, excessive, thrilling, offputting, hyperfocuse, overrated, paced, monica, approve"
